epoch,mAP,loss
1,0.0,116.71650314331055
2,0.0,53.199689865112305
3,0.0,46.99337387084961
4,0.0,54.51711654663086
5,0.0,35.36684608459473
6,0.0,31.03045654296875
7,0.0,33.11245536804199
8,0.0,30.95163631439209
9,0.0,27.969540119171143
10,0.0,36.08090877532959
11,0.0,29.591150283813477
12,0.0,25.654385566711426
13,0.0,43.43860054016113
14,0.0,23.30855941772461
15,0.0,21.514265060424805
16,0.0,24.66798496246338
17,0.0,27.585914611816406
18,0.0,19.934250831604004
19,0.0006944441702216864,19.430078506469727
20,0.0,16.237964153289795
21,0.0,17.877591133117676
22,0.0007575754425488412,21.711076736450195
23,0.0031881302129477262,23.609664916992188
24,0.007440471556037664,16.12382459640503
25,0.0,18.904900550842285
26,0.035416632890701294,16.7881178855896
27,0.004444441758096218,15.291224002838135
28,0.004861108027398586,14.381229400634766
29,0.045138850808143616,17.080581665039062
30,0.02638886868953705,15.326959133148193
31,0.0666666179895401,10.395815372467041
32,0.0666666179895401,11.526641368865967
33,0.0666666179895401,11.67026424407959
34,0.0666666179895401,10.330166816711426
35,0.0666666179895401,14.418662071228027
36,0.07569434493780136,10.227211952209473
37,0.0777776837348938,9.462351322174072
38,0.07638879865407944,15.37901782989502
39,0.06805549561977386,7.515888690948486
40,0.21597197651863098,8.259458303451538
41,0.2437497079372406,12.09767770767212
42,0.17083311080932617,10.770731925964355
43,0.12395818531513214,10.289205551147461
44,0.1166665330529213,8.690682411193848
45,0.07083326578140259,14.580765724182129
46,0.1833331137895584,17.70320987701416
47,0.13506929576396942,15.499380588531494
48,0.13194429874420166,18.384354829788208
49,0.15972204506397247,21.974965572357178
50,0.2083331048488617,20.829659461975098
51,0.23541638255119324,14.829180717468262
52,0.18645814061164856,9.528682708740234
53,0.18472202122211456,15.016804695129395
54,0.19166645407676697,9.694097518920898
55,0.21666643023490906,8.21852731704712
56,0.18368037045001984,9.708126068115234
57,0.23993030190467834,13.325254440307617
58,0.1427081823348999,9.318434715270996
59,0.2229164093732834,9.970029354095459
60,0.25451362133026123,10.004574298858643
61,0.2638885974884033,7.535984754562378
62,0.22152753174304962,13.386857986450195
63,0.16666647791862488,6.641348600387573
64,0.19166645407676697,7.520723342895508
65,0.17499980330467224,6.908719539642334
66,0.18749980628490448,9.828534603118896
67,0.18749980628490448,7.579504013061523
68,0.22708305716514587,6.904886484146118
69,0.2265622317790985,7.030356407165527
70,0.20295114815235138,16.904658794403076
71,0.20555531978607178,6.009453535079956
72,0.14305539429187775,8.819188117980957
73,0.15694424510002136,6.689613342285156
74,0.20555531978607178,8.407351016998291
75,0.24097195267677307,5.754584074020386
76,0.21736085414886475,5.85929274559021
77,0.19166643917560577,7.185009241104126
78,0.19166643917560577,4.481383800506592
79,0.19374975562095642,5.412188172340393
80,0.17534704506397247,4.842242479324341
81,0.23784694075584412,4.959355592727661
82,0.24236083030700684,6.743533134460449
83,0.26597192883491516,6.2963831424713135
84,0.24583306908607483,4.526096820831299
85,0.24444416165351868,3.7613062858581543
86,0.26058998703956604,4.26181173324585
87,0.2187497317790985,2.568226456642151
88,0.16215257346630096,3.3429728746414185
89,0.23124973475933075,4.002938270568848
90,0.20763865113258362,2.8082621097564697
91,0.27534693479537964,2.954899311065674
92,0.26770803332328796,4.066300451755524
93,0.20781226456165314,5.903824329376221
94,0.24409694969654083,5.117928504943848
95,0.21111086010932922,6.529736518859863
96,0.16874980926513672,5.875839471817017
97,0.2376733273267746,6.867822885513306
98,0.28489550948143005,5.315568685531616
99,0.22847196459770203,4.8962565660476685
100,0.22361084818840027,6.7740654945373535
